Scheme name	Locus tag	Description
cgMLST V1	YPO0920 (fbaA)	class II fructose-bisphosphate aldolase
cgMLST V1	YPO0926 (tktA)	transketolase
cgMLST V1	YPO3941 (glgX)	glycogen debranching enzyme
cgMLST V1	YPO3949 (asd)	aspartate-semialdehyde dehydrogenase
cgMLST V1	YPO0253 (acs)	acetyl-coenzyme A synthetase
cgMLST V1	YPO1598 (fabD)	malonyl CoA-acyl carrier protein transacylase
cgMLST V1	YPO1599 (fabG)	beta-ketoacyl-ACP reductase
cgMLST V1	YPO1595 (rpmF)	50S ribosomal protein L32
cgMLST V1	YPO1596 (plsX)	phosphate acyltransferase
cgMLST V1	YPO1597 (fabH)	3-oxoacyl-ACP synthase III
cgMLST V1	YPO1735 (abcB)	multidrug ABC transporter ATP-binding protein
cgMLST V1	YPO1040	Protein of uncharacterised function (DUF3461)
cgMLST V1	YPO1041 (dapD)	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
cgMLST V1	YPO1047 (frr)	ribosome recycling factor
cgMLST V1	YPO1044 (rpsB)	30S ribosomal protein S2
cgMLST V1	YPO1045 (tsf)	elongation factor Ts
cgMLST V1	YPO1049 (rth)	"ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)"
cgMLST V1	YPO1738	hypothetical
cgMLST V1	YPO1739	membrane protein
cgMLST V1	YPO3694 (cybC)	soluble cytochrome b562 2
cgMLST V1	YPO2713 (rseB)	sigma-E factor regulatory protein RseB
cgMLST V1	YPO2712 (rseA)	anti-RNA polymerase sigma factor SigE
cgMLST V1	YPO2711 (rpoE)	RNA polymerase sigma factor RpoE
cgMLST V1	YPO2710 (nadB)	L-aspartate oxidase
cgMLST V1	YPO2717 (lepB)	S26 family signal peptidase
cgMLST V1	YPO2716 (lepA)	elongation factor 4
cgMLST V1	YPO2719 (era)	GTPase Era
cgMLST V1	YPO2718 (rnc)	ribonuclease 3
cgMLST V1	YPO0574 (yqjA)	membrane protein
cgMLST V1	YPO0577 (exuT)	hexuronate transporter ExuT
cgMLST V1	YPO0570 (yqjD)	membrane protein
cgMLST V1	YPO0573	modulator protein MzrA
cgMLST V1	YPO0579 (uxaC)	uronate isomerase
cgMLST V1	YPO0381 (rlmB)	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB
cgMLST V1	YPO0384	transporter
cgMLST V1	YPO2524 (menC)	o-succinylbenzoate synthase
cgMLST V1	YPO2525 (menB)	"1,4-dihydroxy-2-naphthoyl-CoA synthase"
cgMLST V1	YPO2305	hypothetical protein
cgMLST V1	YPO3929 (ppc)	phosphoenolpyruvate carboxylase
cgMLST V1	YPO3927 (argC)	N-acetyl-gamma-glutamyl-phosphate reductase
cgMLST V1	YPO3925 (argB)	acetylglutamate kinase
cgMLST V1	YPO3924 (argH)	argininosuccinate lyase
cgMLST V1	YPO2037 (ycdX)	phosphatase
cgMLST V1	YPO2039	lipoprotein
cgMLST V1	YPO3862 (rffG)	"dTDP-glucose 4,6-dehydratase"
cgMLST V1	YPO3863 (wecC)	UDP-N-acetyl-D-mannosamine dehydrogenase
cgMLST V1	YPO1718	porin
cgMLST V1	YPO1719 (togB)	sugar ABC transporter substrate-binding protein
cgMLST V1	YPO1717 (ydjM)	membrane protein
cgMLST V1	YPO1714 (kdgR)	IclR family transcriptional regulator
cgMLST V1	YPO1713 (ogl)	oligogalacturonate lyase
cgMLST V1	YPO2738 (ccmE)	cytochrome c-type biogenesis protein CcmE
cgMLST V1	YPO2735 (ccmB)	heme exporter protein B
cgMLST V1	YPO2736 (ccmC)	heme ABC transporter permease
cgMLST V1	YPO3027 (ygiW)	TIGR00156 family protein
cgMLST V1	YPO3025	deferrochelatase/peroxidase YfeX
cgMLST V1	YPO2191	hypothetical protein
cgMLST V1	YPO2193 (tonB)	transporter TonB
cgMLST V1	YPO2192	hypothetical protein
cgMLST V1	YPO2195 (yciA)	acyl-CoA thioesterase
cgMLST V1	YPO2196 (ispZ)	intracellular septation protein A
cgMLST V1	YPO2990 (zipA)	Cell division protein ZipA homolog
cgMLST V1	YPO2993 (ptsH)	PTS sugar transporter
cgMLST V1	YPO2992 (cysK)	cysteine synthase A
cgMLST V1	YPO2995 (crr)	"PTS D-glucose IIA component, Glc family"
cgMLST V1	YPO2994 (ptsI)	phosphoenolpyruvate--protein phosphotransferase
cgMLST V1	YPO1367 (clpS)	ATP-dependent Clp protease adaptor ClpS
cgMLST V1	YPO1366 (cspD)	cold shock domain protein CspD
cgMLST V1	YPO1365 (macB)	MacB family efflux pump subunit
cgMLST V1	YPO1364 (macA)	macrolide transporter subunit MacA
cgMLST V1	YPO1360 (hcp)	hydroxylamine reductase
cgMLST V1	YPO1368 (clpA)	ATP-dependent Clp protease ATP-binding subunit ClpA
cgMLST V1	YPO4078	bifunctional glyoxylate/hydroxypyruvate reductase B
cgMLST V1	YPO2757 (fabB)	beta-ketoacyl-[acyl-carrier-protein] synthase I
cgMLST V1	YPO2201 (ompW)	outer membrane protein W
cgMLST V1	YPO2202	BON domain-containing protein
cgMLST V1	YPO0140 (hslR)	ribosome-associated heat shock protein Hsp15
cgMLST V1	YE3303 (csdA)	putative aminotransferase class V
cgMLST V1	YPO0909 (ubiH)	2-octaprenyl-6-methoxyphenyl hydroxylase
cgMLST V1	YPO3498 (rimP)	ribosome maturation factor
cgMLST V1	YPO0906 (gcsH)	glycine cleavage system protein H
cgMLST V1	YPO0907 (gcvT)	aminomethyltransferase
cgMLST V1	YPO3493 (rpsO)	30S ribosomal protein S15
cgMLST V1	YPO4070 (yiaF)	putative exported protein
cgMLST V1	YPO1757 (manY)	PTS mannose/fructose/sorbose transporter subunit IIC
cgMLST V1	YPO3497 (nusA)	transcription termination protein NusA
cgMLST V1	YPO4071 (glyS)	glycine--tRNA ligase subunit beta
cgMLST V1	YPO3495 (rbfA)	ribosome-binding factor A
cgMLST V1	YPO3146 (ybaO)	AsnC family transcriptional regulator
cgMLST V1	YPO3904	transcriptional regulator HdfR
cgMLST V1	YPO3901 (ilvG)	acetolactate synthase 2 catalytic subunit
cgMLST V1	YPO3900 (ilvM)	acetolactate synthase 2 regulatory subunit
cgMLST V1	YPO3903	UPF0438 protein YifE
cgMLST V1	YPO3902 (comM)	ATP-dependent protease
cgMLST V1	YPO3909 (murI)	glutamate racemase
cgMLST V1	YPO2055	transcriptional regulator
cgMLST V1	YPO2056 (ruvC)	crossover junction endodeoxyribonuclease RuvC
cgMLST V1	YPO2058 (ruvB)	Holliday junction DNA helicase RuvB
cgMLST V1	YPO2059 (znuB)	zinc ABC transporter permease
cgMLST V1	YPO1558 (sbcB)	exodeoxyribonuclease I
cgMLST V1	YPO1771 (sdaA)	L-serine ammonia-lyase
cgMLST V1	YPO1772	coenzyme A pyrophosphatase
cgMLST V1	YPO1774	hypothetical protein
cgMLST V1	YPO1775 (purT)	phosphoribosylglycinamide formyltransferase 2
cgMLST V1	YPO1776 (dbpA)	ATP-dependent RNA helicase
cgMLST V1	YPO1777	hypothetical protein
cgMLST V1	YPO1080	hypothetical protein
cgMLST V1	YPO1081 (rnhA)	ribonuclease HI
cgMLST V1	YER_AA1032AA_00894	peptide ABC transporter ATP-binding protein
cgMLST V1	YPO0029 (dtd)	D-aminoacyl-tRNA deacylase
cgMLST V1	YPO0024 (glnA)	glutamine synthetase
cgMLST V1	YPO4072 (glyQ)	glycine--tRNA ligase subunit alpha
cgMLST V1	YPO3224 (frsA)	fermentation/respiration switch protein
cgMLST V1	YPO3225 (gpt)	xanthine phosphoribosyltransferase
cgMLST V1	YPO3221 (proA)	gamma-glutamyl-phosphate reductase
cgMLST V1	YPO3222 (proB)	glutamate 5-kinase
cgMLST V1	YPO3223 (crl)	sigma factor-binding protein Crl
cgMLST V1	YPO3040 (napF)	ferredoxin-type protein NapF
cgMLST V1	YPO3041 (narP)	DNA-binding response regulator
cgMLST V1	YPO1349 (artM)	arginine transporter permease subunit ArtM
cgMLST V1	YPO2634 (fur)	transcriptional repressor
cgMLST V1	YPO4094 (gyrB)	DNA gyrase subunit B
cgMLST V1	YPO2637	LexA regulated protein
cgMLST V1	YPO4095 (recF)	DNA recombination protein RecF
cgMLST V1	YPO0922 (epd)	D-erythrose-4-phosphate dehydrogenase
cgMLST V1	YPO0255 (ssrB)	DNA-binding response regulator
cgMLST V1	YPO0921 (pgk)	phosphoglycerate kinase
cgMLST V1	YPO0927	metalloprotease
cgMLST V1	YPO0252	membrane protein
cgMLST V1	YPO0929 (speA)	arginine decarboxylase
cgMLST V1	YPO3698 (treR)	trehalose operon repressor
cgMLST V1	YPO3695 (rnk)	nucleoside diphosphate kinase regulator
cgMLST V1	YPO3697 (treB)	PTS trehalose transporter subunit IIBC
cgMLST V1	YPO3696 (treC)	"alpha,alpha-phosphotrehalase"
cgMLST V1	YPO3692 (pmbA)	metalloprotease PmbA
cgMLST V1	YPO2078 (minC)	septum formation inhibitor
cgMLST V1	YPO2072 (tsaB)	tRNA N6-adenosine(37)-N6-threonylcarbamoyltransferase complex dimerization subunit TsaB
cgMLST V1	YPO2070	hypothetical protein
cgMLST V1	YPO2071 (dinG)	ATP-dependent helicase
cgMLST V1	YPO2076 (minE)	cell division topological specificity factor MinE
cgMLST V1	YPO2077 (minD)	septum site-determining protein MinD
cgMLST V1	YPO2074 (fadD)	long-chain-fatty-acid--CoA ligase
cgMLST V1	YPO2075 (rnd)	ribonuclease D
cgMLST V1	YPO1575	DUF2058 domain-containing protein
cgMLST V1	YPO1570 (argG)	argininosuccinate synthase
cgMLST V1	YPO1756 (manZ)	PTS mannose transporter subunit IID
cgMLST V1	YPO1755 (yobD)	membrane protein
cgMLST V1	YPO1758 (gptB)	PTS mannose transporter subunit EIIAB
cgMLST V1	YPO4056 (fdoI)	formate dehydrogenase-N subunit gamma
cgMLST V1	YPO4057 (fdoH)	formate dehydrogenase subunit beta
cgMLST V1	YPO4054 (selA)	L-selenocysteinyl-tRNA(Sec) synthase
cgMLST V1	YPO0009	major facilitator transporter
cgMLST V1	YPO0008 (rbsK)	ribokinase
cgMLST V1	YPO0001 (mioC)	FMN-binding protein MioC
cgMLST V1	YPO0003 (asnA)	aspartate--ammonia ligase
cgMLST V1	YPO0002 (asnC)	transcriptional regulator
cgMLST V1	YPO0004 (yieM)	protein viaA
cgMLST V1	YPO0007 (rbsD)	D-ribose pyranase
cgMLST V1	YPO0006 (trkD)	potassium transporter Kup
cgMLST V1	YPO0039 (rpoZ)	DNA-directed RNA polymerase subunit omega
cgMLST V1	YPO3204 (phoR)	PAS domain-containing sensor histidine kinase
cgMLST V1	YPO3205 (phoB)	DNA-binding response regulator
cgMLST V1	YPO3202 (brnQ)	branched-chain amino acid transport system II carrier protein
cgMLST V1	YPO3203 (pstS)	phosphate ABC transporter substrate-binding protein
cgMLST V1	YPO3062 (dapA)	4-hydroxy-tetrahydrodipicolinate synthase
cgMLST V1	YPO3063 (gcvR)	glycine cleavage system transcriptional repressor
cgMLST V1	YPO3064 (bcp)	peroxiredoxin
cgMLST V1	YPO3068 (perM)	AI-2E family transporter
cgMLST V1	YPO3069	beta-barrel assembly-enhancing protease
cgMLST V1	YPO2333 (qacE)	QacE family quaternary ammonium compound efflux SMR transporter
cgMLST V1	YPO2339 (mppA)	peptide ABC transporter substrate-binding protein
cgMLST V1	YPO2338 (zntB)	zinc transporter ZntB
cgMLST V1	YPO1323 (deoC)	2-deoxyribose-5-phosphate aldolase
cgMLST V1	YPO1322 (deoR)	transcriptional regulator
cgMLST V1	YPO1327 (grxA)	"glutaredoxin, GrxA family"
cgMLST V1	YPO1326	transporter
cgMLST V1	YPO1324 (bcrC)	undecaprenyl-diphosphatase
cgMLST V1	YPO0492 (ksgA)	ribosomal RNA small subunit methyltransferase A
cgMLST V1	YPO0493 (pdxA)	4-hydroxythreonine-4-phosphate dehydrogenase PdxA
cgMLST V1	YPO0491 (apaG)	Co2+/Mg2+ efflux protein ApaG
cgMLST V1	YPO0496 (djlA)	molecular chaperone DjlA
cgMLST V1	YPO0497 (rluA)	bifunctional tRNA pseudouridine(32) synthase TrmQ/ribosomal large subunit pseudouridine synthase RluA
cgMLST V1	YPO0495 (imp)	LPS assembly protein LptD
cgMLST V1	YPO1822 (fliN)	flagellar motor switch protein FliN
cgMLST V1	YPO0279 (hmuV)	hemin import ATP-binding protein HmuV
cgMLST V1	YPO1511 (sfcA)	NAD-dependent malic enzyme
cgMLST V1	YPO1512 (cdd)	cytidine deaminase
cgMLST V1	YPO1513 (yohK)	CidB/LrgB family autolysis modulator
cgMLST V1	YPO1514 (yohJ)	lrgA family protein
cgMLST V1	YPO1517	sugar ABC transporter substrate-binding protein
cgMLST V1	YPO0063	murein hydrolase activator EnvC
cgMLST V1	YPO0067 (secB)	protein-export protein SecB
cgMLST V1	YPO0066 (grxC)	glutaredoxin 3
cgMLST V1	YPO0065	rhodanese-like domain-containing protein
cgMLST V1	YPO0064 (gpmI)	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
cgMLST V1	YPO4038 (xylA)	xylose isomerase
cgMLST V1	YPO0068 (gpsA)	glycerol-3-phosphate dehydrogenase (NAD(P)(+))
cgMLST V1	YPO0683 (exbD)	biopolymer transport protein ExbD
cgMLST V1	YPO0682 (exbB)	tonB-system energizer ExbB
cgMLST V1	YPO0680	membrane protein
cgMLST V1	YPO3264	amino acid transporter
cgMLST V1	YPO3265	branched-chain amino acid ABC transporter permease
cgMLST V1	YPO3266 (emrR)	transcriptional regulator
cgMLST V1	YPO3267 (emrA)	multidrug transporter
cgMLST V1	YPO3268 (emrB)	multidrug effux MFS transporter subunit EmrB
cgMLST V1	YPO2681 (celD)	transcriptional regulator
cgMLST V1	YPO2680 (celC)	PTS N'-diacetylchitobiose transporter subunit IIA
cgMLST V1	YPO2682 (chbG)	chitooligosaccharide deacetylase
cgMLST V1	YPO2685 (seqA)	replication initiation regulator SeqA
cgMLST V1	YPO2687	membrane protein
cgMLST V1	YPO2688 (kdpE)	DNA-binding response regulator
cgMLST V1	YPO3088 (ybaK)	aminoacyl-tRNA deacylase
cgMLST V1	YPO3084 (ybbJ)	membrane protein
cgMLST V1	YPO3086 (copA)	Cu+ exporting ATPase
cgMLST V1	YPO3081 (ybbO)	short-chain dehydrogenase/reductase
cgMLST V1	YPO3082 (ybbN)	thioredoxin
cgMLST V1	YPO3083	paraslipin
cgMLST V1	YPO2359 (sapF)	peptide ABC transporter ATP-binding protein
cgMLST V1	YPO2358 (sapD)	peptide ABC transporter ATP-binding protein
cgMLST V1	YPO2351 (pspA)	phage shock protein PspA
cgMLST V1	YPO2350 (pspB)	phage shock protein B
cgMLST V1	YPO2357 (sapC)	peptide ABC transporter permease
cgMLST V1	YPO2356 (sapB)	peptide ABC transporter permease
cgMLST V1	YPO2355 (sapA)	peptide ABC transporter substrate-binding protein SapA
cgMLST V1	YPO3888 (ilvC)	ketol-acid reductoisomerase
cgMLST V1	YPO3816a (yhhL)	membrane protein
cgMLST V1	YPO1308	transcriptional regulator
cgMLST V1	YPO1656	protein DsrB
cgMLST V1	YPO2218 (topA)	DNA topoisomerase I
cgMLST V1	YPO1423a (rmf)	ribosome modulation factor
cgMLST V1	YPO2212	threonylcarbamoyl-AMP synthase
cgMLST V1	YPO2745	hypothetical protein
cgMLST V1	YPO2741 (ccmH)	cytochrome c-type biogenesis protein CcmH
cgMLST V1	YPO2215	YciK family oxidoreductase
cgMLST V1	YPO0474 (ribF)	bifunctional riboflavin kinase/FMN adenylyltransferase
cgMLST V1	YPO0475 (ileS)	isoleucine--tRNA ligase
cgMLST V1	YPO0476 (lspA)	signal peptidase II
cgMLST V1	YPO0477 (ispH)	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
cgMLST V1	YPO0471 (nhaR)	transcriptional activator NhaR
cgMLST V1	YPO0472 (rpsT)	30S ribosomal protein S20
cgMLST V1	YPO0218 (rpmC)	50S ribosomal protein L29
cgMLST V1	YPO0219 (rpsQ)	30S ribosomal protein S17
cgMLST V1	YPO0210 (rplC)	50S ribosomal protein L3
cgMLST V1	YPO0211 (rplD)	50S ribosomal protein L4
cgMLST V1	YPO0212 (rplW)	50S ribosomal protein L23
cgMLST V1	YPO0213 (rplB)	50S ribosomal protein L2
cgMLST V1	YPO0214 (rpsS)	30S ribosomal protein S19
cgMLST V1	YPO0215 (rplV)	50S ribosomal protein L22
cgMLST V1	YPO0216 (rpsC)	30S ribosomal protein S3
cgMLST V1	YPO0217 (rplP)	50S ribosomal protein L16
cgMLST V1	YPO0359 (frdB)	fumarate reductase iron-sulfur subunit
cgMLST V1	YPO0358 (frdC)	fumarate reductase subunit C
cgMLST V1	YPO3747 (rpoB)	DNA-directed RNA polymerase subunit beta
cgMLST V1	YPO3746 (rpoC)	DNA-directed RNA polymerase subunit beta'
cgMLST V1	YPO3742 (thiG)	thiazole synthase
cgMLST V1	YPO3748 (rplL)	50S ribosomal protein L7/L12
cgMLST V1	YPO3557 (gltB)	glutamate synthase large subunit
cgMLST V1	YPO1539 (galU)	UTP--glucose-1-phosphate uridylyltransferase
cgMLST V1	YPO1828 (fliH)	flagellar assembly protein H
cgMLST V1	YPO1829 (fliG)	flagellar motor switch protein FliG
cgMLST V1	YPO1796 (flgN)	flagellar synthesis protein FlgN
cgMLST V1	YPO1797 (flgM)	flagellar biosynthesis protein FlgM
cgMLST V1	YPO1791 (flhA)	flagellar biosynthesis protein FlhA
cgMLST V1	YPO1798 (flgA)	flagellar basal body P-ring biosynthesis protein FlgA
cgMLST V1	YPO1799 (flgB)	flagellar biosynthesis protein FlgB
cgMLST V1	YPO0049 (radC)	DNA repair protein RadC
cgMLST V1	YPO0048 (dfp)	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase
cgMLST V1	YPO0047 (dut)	deoxyuridine 5'-triphosphate nucleotidohydrolase
cgMLST V1	YPO0046 (slmA)	nucleoid occlusion factor SlmA
cgMLST V1	YPO4016 (hutH)	histidine ammonia-lyase
cgMLST V1	YPO4014	membrane protein
cgMLST V1	YPO3538 (priB)	primosomal replication protein N
cgMLST V1	YPO3539 (rpsF)	30S ribosomal protein S6
cgMLST V1	YPO3243 (gmhA)	phosphoheptose isomerase
cgMLST V1	YPO3240 (nqrA)	NADH:ubiquinone reductase (Na(+)-transporting) subunit A
cgMLST V1	YPO3530 (cpdB)	"2',3'-cyclic-nucleotide 2'-phosphodiesterase"
cgMLST V1	YPO3244 (fadE)	acyl-CoA dehydrogenase
cgMLST V1	YPO1491 (ybiT)	ABC-F family ATPase
cgMLST V1	YPO2370 (pdxH)	pyridoxine/pyridoxamine 5'-phosphate oxidase
cgMLST V1	YPO2373 (pcp)	membrane protein
cgMLST V1	YPO2372 (anmK)	anhydro-N-acetylmuramic acid kinase
cgMLST V1	YPO3658 (accC)	acetyl-CoA carboxylase biotin carboxylase subunit
cgMLST V1	YPO2608 (holA)	DNA polymerase III subunit delta
cgMLST V1	YPO0017 (polA)	DNA polymerase I
cgMLST V1	YPO0181	alcohol dehydrogenase
cgMLST V1	YPO0015 (dsbA)	thiol-disulfide isomerase
cgMLST V1	YPO0456 (rob)	RobA family efflux pump transcriptional activator
cgMLST V1	YPO0455 (gpmB)	phosphoglycerate mutase GpmB
cgMLST V1	YPO0452 (slt)	murein transglycosylase
cgMLST V1	YPO0458 (arcA)	DNA-binding response regulator
cgMLST V1	YPO0459 (thrA)	bifunctional aspartate kinase/homoserine dehydrogenase I
cgMLST V1	YPO3184 (nrdR)	NrdR family transcriptional regulator
cgMLST V1	YPO3181 (nusB)	N utilization substance protein B
cgMLST V1	YPO3180 (thiL)	thiamine-monophosphate kinase
cgMLST V1	YPO3183 (ribD)	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase
cgMLST V1	YPO3182 (ribH)	"6,7-dimethyl-8-ribityllumazine synthase"
cgMLST V1	YPO3189 (secD)	preprotein translocase subunit SecD
cgMLST V1	YPO3188 (secF)	preprotein translocase subunit SecF
cgMLST V1	YPO0232 (rpsK)	30S ribosomal protein S11
cgMLST V1	YPO0233 (rpsD)	30S ribosomal protein S4
