Scheme name	Locus tag	Description
cgMLST V1	b0429 (cyoD)	cytochrome o ubiquinol oxidase subunit IV
cgMLST V1	b0428 (cyoE)	protoheme IX farnesyltransferase
cgMLST V1	b3198 (kdsC)	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase
cgMLST V1	b3199 (lptC)	"lipopolysaccharide export, IM-tethered periplasmic protein of the LptBFGC export complex"
cgMLST V1	b3194 (mlaE)	"ABC transporter maintaining OM lipid asymmetry, inner membrane permease protein"
cgMLST V1	b3195 (mlaF)	"ABC transporter maintaining OM lipid asymmetry, ATP-binding protein"
cgMLST V1	b3196 (yrbG)	putative calcium/sodium:proton antiporter
cgMLST V1	b3197 (kdsD)	D-arabinose 5-phosphate isomerase
cgMLST V1	b3190 (ibaG)	"acid stress protein; putative transcriptional regulator, BolA family"
cgMLST V1	b3191 (mlaB)	"ABC transporter maintaining OM lipid asymmetry, cytoplasmic STAS component"
cgMLST V1	b3192 (mlaC)	"ABC transporter maintaining OM lipid asymmetry, periplasmic binding protein"
cgMLST V1	b3193 (mlaD)	"ABC transporter maintaining OM lipid asymmetry, anchored periplasmic binding protein"
cgMLST V1	b3448 (yhhA)	DUF2756 family protein
cgMLST V1	b3449 (ugpQ)	"glycerophosphodiester phosphodiesterase, cytosolic "
cgMLST V1	b3440 (yhhX)	putative oxidoreductase
cgMLST V1	b2711 (norW)	NADH:flavorubredoxin oxidoreductase
cgMLST V1	b2710 (norV)	anaerobic nitric oxide reductase flavorubredoxin
cgMLST V1	b2713 (hydN)	"formate dehydrogenase-H, [4Fe-4S] ferredoxin subunit"
cgMLST V1	b0169 (rpsB)	30S ribosomal subunit protein S2
cgMLST V1	b1174 (minE)	cell division topological specificity factor
cgMLST V1	b1175 (minD)	membrane ATPase of the MinC-MinD-MinE system
cgMLST V1	b1176 (minC)	cell division inhibitor
cgMLST V1	b1179 (ycgL)	UPF0745 family protein
cgMLST V1	b4522 (ymiA)	uncharacterized protein
cgMLST V1	b4523 (yciX)	uncharacterized protein
cgMLST V1	b4529 (ydbJ)	DUF333 family putative lipoprotein
cgMLST V1	b3604 (lldR)	dual role activator/repressor for lldPRD operon
cgMLST V1	b3605 (lldD)	"L-lactate dehydrogenase, FMN-linked "
cgMLST V1	b3606 (trmL)	"tRNA Leu mC34,mU34 2'-O-methyltransferase, SAM-dependent"
cgMLST V1	b3607 (cysE)	serine acetyltransferase
cgMLST V1	b3600 (mtlD)	"mannitol-1-phosphate dehydrogenase, NAD-dependent "
cgMLST V1	b3601 (mtlR)	mannitol operon repressor
cgMLST V1	b3602 (yibL)	ribosome-associated DUF2810 family protein
cgMLST V1	b3603 (lldP)	L-lactate permease
cgMLST V1	b3608 (gpsA)	glycerol-3-phosphate dehydrogenase (NAD+)
cgMLST V1	b3609 (secB)	protein export chaperone
cgMLST V1	b2957 (ansB)	periplasmic L-asparaginase 2
cgMLST V1	b2829 (ptsP)	fused PTS enzyme: PEP-protein phosphotransferase (enzyme I)/GAF domain containing protein
cgMLST V1	b2828 (lgt)	phosphatidylglycerol-prolipoprotein diacylglyceryl transferase
cgMLST V1	b2827 (thyA)	thymidylate synthetase
cgMLST V1	b2826 (ppdA)	putative prepilin peptidase-dependent protein
cgMLST V1	b2825 (ppdB)	putative prepilin peptidase-dependent protein
cgMLST V1	b2824 (ygdB)	DUF2509 family protein
cgMLST V1	b2823 (ppdC)	putative prepilin peptidase-dependent protein
cgMLST V1	b2822 (recC)	"exonuclease V (RecBCD complex), gamma chain "
cgMLST V1	b2821 (ptrA)	protease III
cgMLST V1	b2820 (recB)	"exonuclease V (RecBCD complex), beta subunit "
cgMLST V1	b1707 (ydiV)	"anti-FlhD4C2 factor, inactive EAL family phosphodiesterase"
cgMLST V1	b1706 (ydiU)	UPF0061 family protein
cgMLST V1	b1705 (ydiE)	hemin uptake protein HemP homolog
cgMLST V1	b1704 (aroH)	"3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tryptophan repressible "
cgMLST V1	b1703 (ppsR)	bifunctional regulatory protein: PEP synthase kinase and PEP synthase pyrophosphorylase
cgMLST V1	b1702 (ppsA)	phosphoenolpyruvate synthase
cgMLST V1	b1709 (btuD)	vitamin B12 transporter subunit : ATP-binding component of ABC superfamily
cgMLST V1	b1708 (nlpC)	putative C40 clan peptidase lipoprotein
cgMLST V1	b0077 (ilvI)	acetolactate synthase 3 large subunit
cgMLST V1	b0074 (leuA)	2-isopropylmalate synthase
cgMLST V1	b0075 (leuL)	leu operon leader peptide
cgMLST V1	b0072 (leuC)	3-isopropylmalate dehydratase large subunit
cgMLST V1	b0073 (leuB)	"3-isopropylmalate dehydrogenase, NAD(+)-dependent "
cgMLST V1	b0071 (leuD)	3-isopropylmalate dehydratase small subunit
cgMLST V1	b0078 (ilvH)	"acetolactate synthase 3, small subunit, valine-sensitive "
cgMLST V1	b3836 (tatA)	TatABCE protein translocation system subunit
cgMLST V1	b3832 (rmuC)	DNA recombination protein
cgMLST V1	b3839 (tatC)	TatABCE protein translocation system subunit
cgMLST V1	b3838 (tatB)	TatABCE protein translocation system subunit
cgMLST V1	b0915 (lpxK)	lipid A 4'kinase
cgMLST V1	b0917 (ycaR)	"peroxide and acid resistance protein, UPF0434 family"
cgMLST V1	b0916 (ycaQ)	DUF1006 family protein with C-terminal wHTH domain
cgMLST V1	b0910 (cmk)	cytidylate kinase
cgMLST V1	b0912 (ihfB)	"integration host factor (IHF), DNA-binding protein, beta subunit"
cgMLST V1	b0919 (ycbJ)	protein kinase-like domain protein
cgMLST V1	b0918 (kdsB)	3-deoxy-manno-octulosonate cytidylyltransferase
cgMLST V1	b3733 (atpG)	"F1 sector of membrane-bound ATP synthase, gamma subunit "
cgMLST V1	b2988 (gss)	fused glutathionylspermidine amidase/glutathionylspermidine synthetase
cgMLST V1	b2989 (yghU)	putative S-transferase
cgMLST V1	b3115 (tdcD)	"propionate kinase/acetate kinase C, anaerobic "
cgMLST V1	b3116 (tdcC)	L-threonine/L-serine transporter
cgMLST V1	b3113 (tdcF)	putative reactive intermediate deaminase
cgMLST V1	b3118 (tdcA)	tdc operon transcriptional activator
cgMLST V1	b3119 (tdcR)	L-threonine dehydratase operon activator protein
cgMLST V1	b2799 (fucO)	"L-1,2-propanediol oxidoreductase "
cgMLST V1	b2798 (ygdG)	"Ssb-binding protein, misidentified as ExoIX "
cgMLST V1	b2795 (ygdH)	UPF0717 family protein
cgMLST V1	b2794 (queF)	7-cyano-7-deazaguanine reductase (NADPH-dependent)
cgMLST V1	b2796 (sdaC)	putative serine transporter
cgMLST V1	b2791 (truC)	"tRNA(Ile1,Asp) pseudouridine(65) synthase "
cgMLST V1	b2790 (yqcA)	"short-chain flavodoxin, FMN-binding"
cgMLST V1	b2793 (syd)	SecY-interacting protein
cgMLST V1	b2792 (yqcC)	DUF446 family protein
cgMLST V1	b2234 (nrdA)	"ribonucleoside-diphosphate reductase 1, alpha subunit "
cgMLST V1	b2235 (nrdB)	"ribonucleoside-diphosphate reductase 1, beta subunit, ferritin-like protein "
cgMLST V1	b2231 (gyrA)	"DNA gyrase (type II topoisomerase), subunit A "
cgMLST V1	b0628 (lipA)	lipoate synthase
cgMLST V1	b0624 (flc)	"fluoride efflux channel, dual topology membrane protein"
cgMLST V1	b2559 (tadA)	tRNA-specific adenosine deaminase
cgMLST V1	b2558 (mltF)	"membrane-bound lytic transglycosylase F, murein hydrolase"
cgMLST V1	b2557 (purL)	phosphoribosylformyl-glycineamide synthetase
cgMLST V1	b2556 (glrK)	sensor protein kinase regulating glmY sRNA in two-component system with response regulator GlrR
cgMLST V1	b2555 (yfhG)	putative outer membrane protein modulating the QseEF response
cgMLST V1	b2552 (hmp)	fused nitric oxide dioxygenase/dihydropteridine reductase 2
cgMLST V1	b2551 (glyA)	serine hydroxymethyltransferase
cgMLST V1	b2550 (yphH)	putative DNA-binding transcriptional regulator
cgMLST V1	b0794 (ybhF)	putative transporter subunit of ABC superfamily: ATP-binding component
cgMLST V1	b1237 (hns)	global DNA-binding transcriptional dual regulator H-NS
cgMLST V1	b1236 (galU)	glucose-1-phosphate uridylyltransferase
cgMLST V1	b1235 (rssB)	PcnB-degradosome interaction factor; response regulator
cgMLST V1	b1234 (rssA)	putative patatin-like family phospholipase
cgMLST V1	b1233 (ychJ)	UPF0225 family protein
cgMLST V1	b1232 (purU)	formyltetrahydrofolate hydrolase
cgMLST V1	b1238 (tdk)	thymidine kinase/deoxyuridine kinase
cgMLST V1	b4046 (zur)	"transcriptional repressor, Zn(II)-binding"
cgMLST V1	b4045 (yjbJ)	"stress-induced protein, UPF0337 family"
cgMLST V1	b4044 (dinF)	oxidative stress resistance protein; putative MATE family efflux pump; UV and mitomycin C inducible protein
cgMLST V1	b4043 (lexA)	transcriptional repressor of SOS regulon
cgMLST V1	b4041 (plsB)	glycerol-3-phosphate O-acyltransferase
cgMLST V1	b1952 (dsrB)	uncharacterized protein
cgMLST V1	b1953 (yodD)	uncharacterized protein
cgMLST V1	b3091 (uxaA)	altronate hydrolase
cgMLST V1	b3093 (exuT)	hexuronate transporter
cgMLST V1	b3092 (uxaC)	uronate isomerase
cgMLST V1	b3095 (yqjA)	general envelope maintenance protein; DedA family inner membrane protein
cgMLST V1	b3094 (exuR)	hexuronate regulon transcriptional repressor; autorepressor
cgMLST V1	b3097 (yqjC)	DUF1090 family putative periplasmic protein
cgMLST V1	b3096 (mzrA)	modulator of EnvZ/OmpR regulon
cgMLST V1	b3321 (rpsJ)	30S ribosomal subunit protein S10
cgMLST V1	b3320 (rplC)	50S ribosomal subunit protein L3
cgMLST V1	b1056 (yceI)	secreted protein
cgMLST V1	b1033 (ghrA)	glyoxylate/hydroxypyruvate reductase A
cgMLST V1	b1035 (ycdY)	redox enzyme maturation protein (REMP) chaperone for YcdX
cgMLST V1	b1034 (ycdX)	alkaline phosphatase
cgMLST V1	b1036 (ycdZ)	DUF1097 family inner membrane protein
cgMLST V1	b0780 (ybhK)	putative NAD(P)-binding transferase
cgMLST V1	b0781 (moaA)	molybdopterin biosynthesis protein A
cgMLST V1	b4203 (rplI)	50S ribosomal subunit protein L9
cgMLST V1	b0783 (moaC)	"molybdopterin biosynthesis, protein C"
cgMLST V1	b0784 (moaD)	"molybdopterin synthase, small subunit"
cgMLST V1	b0785 (moaE)	"molybdopterin synthase, large subunit"
cgMLST V1	b0786 (ybhL)	UPF0005 family inner membrane protein
cgMLST V1	b4206 (ytfB)	OapA family protein
cgMLST V1	b4209 (ytfE)	iron-sulfur cluster repair protein RIC
cgMLST V1	b1789 (yeaL)	UPF0756 family putative inner membrane protein
cgMLST V1	b1788 (yoaI)	uncharacterized protein
cgMLST V1	b1787 (yeaK)	aminoacyl-tRNA editing domain protein
cgMLST V1	b1782 (mipA)	scaffolding protein for murein synthesizing machinery
cgMLST V1	b1781 (yeaE)	"aldo-keto reductase, methylglyoxal to acetol, NADPH-dependent"
cgMLST V1	b1780 (yeaD)	D-hexose-6-phosphate epimerase-like protein
cgMLST V1	b1728 (ydjM)	inner membrane protein regulated by LexA
cgMLST V1	b3521 (yhjC)	LysR family putative transcriptional regulator
cgMLST V1	b3520 (yhjB)	putative DNA-binding transcriptional response regulator
cgMLST V1	b3523 (yhjE)	MFS superfamily sugar transport 1 family protein
cgMLST V1	b3522 (yhjD)	inner membrane putative BrbK family alternate lipid exporter
cgMLST V1	b3525 (yhjH)	"cyclic-di-GMP phosphodiesterase, FlhDC-regulated"
cgMLST V1	b3527 (yhjJ)	putative periplasmic M16 family chaperone
cgMLST V1	b3526 (kdgK)	2-dehydro-3-deoxygluconokinase
cgMLST V1	b3529 (yhjK)	cyclic-di-GMP phosphodiesterase
cgMLST V1	b3528 (dctA)	"C4-dicarboxylic acid, orotate and citrate transporter"
cgMLST V1	b2690 (yqaB)	fructose-1-P and 6-phosphogluconate phosphatase
cgMLST V1	b2696 (csrA)	pleiotropic regulatory protein for carbon source metabolism
cgMLST V1	b2697 (alaS)	alanyl-tRNA synthetase
cgMLST V1	b2698 (recX)	regulatory protein for RecA
cgMLST V1	b2699 (recA)	DNA recombination and repair protein; ssDNA-dependent ATPase; synaptase; ssDNA and dsDNA binding protein forming filaments; ATP-dependent homologous DNA strand exchanger; recombinase A; LexA autocleavage cofactor
cgMLST V1	b0999 (cbpM)	modulator of CbpA co-chaperone
cgMLST V1	b0995 (torR)	response regulator in two-component regulatory system with TorS
cgMLST V1	b0996 (torC)	"trimethylamine N-oxide (TMAO) reductase I, cytochrome c-type subunit"
cgMLST V1	b2908 (pepP)	proline aminopeptidase P II
cgMLST V1	b2909 (ygfB)	UPF0149 family protein
