Scheme name	Locus tag	Description
cgMLST V2	STMMW_13201 (celB)	"PTS system N,N'-diacetylchitobiose-specific transporter subunit IIC"
cgMLST V2	STMMW_41901 (yjbJ)	"stress-induced protein, UPF0337 family"
cgMLST V2	STMMW_21521 (asmA)	outer membrane assembly protein AsmA
cgMLST V2	STMMW_26801 (yfiA)	translation inhibitor protein RaiA
cgMLST V2	STMMW_28741	drug resistance transporter EmrB
cgMLST V2	STMMW_38752	hypothetical protein
cgMLST V2	STMMW_44621 (yjiJ)	sugar transporter
cgMLST V2	STMMW_25601 (iscS)	cysteine desulfurase IscS
cgMLST V2	STMMW_16781 (tyrR)	TyrR family transcriptional regulator
cgMLST V2	STMMW_33691 (maf-b)	septum formation inhibitor Maf
cgMLST V2	STMMW_27601 (gabP)	GABA Gamma-aminobutyrate transporter
cgMLST V2	STMMW_11521 (csgA)	major curlin subunit
cgMLST V2	STMMW_11831 (flgC)	flagellar basal body rod protein FlgC
cgMLST V2	STMMW_41011 (nusG)	transcription termination/antitermination factor NusG
cgMLST V2	STMMW_18871 (yecN)	inner membrane protein
cgMLST V2	STMMW_17781 (hyaA)	"hydrogenase 1, small subunit"
cgMLST V2	STMMW_16431 (hslJ)	heat shock protein HslJ
cgMLST V2	STMMW_35041 (malP)	maltodextrin phosphorylase
cgMLST V2	STMMW_04541 (psiF)	Phosphate starvation-inducible protein PsiF
cgMLST V2	STMMW_39931 (yiiD)	GNAT family acetyltransferase
cgMLST V2	STMMW_11781 (mviN)	Proposed peptidoglycan lipid II flippase MurJ
cgMLST V2	STMMW_22381 (fruB)	bifunctional PTS system fructose-specific transporter subunit IIA/HPr protein
cgMLST V2	STMMW_32921 (glmM)	phosphoglucosamine mutase
cgMLST V2	STMMW_44991 (rsmC)	16S rRNA methyltransferase
cgMLST V2	STMMW_14491 (anmK)	anhydro-N-acetylmuramic acid kinase
cgMLST V2	STMMW_36461	Putative outer membrane lipoprotein
cgMLST V2	STMMW_07361 (ubiF)	"Putative 2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase"
cgMLST V2	STMMW_23651 (ulaB)	PTS mannitol transporter subunit IIB
cgMLST V2	STMMW_04811 (yajD)	HNH endonuclease
cgMLST V2	STMMW_08821 (dps)	DNA starvation/stationary phase protection protein
cgMLST V2	STMMW_18691 (pykA)	pyruvate kinase II
cgMLST V2	STMMW_34311 (rplD)	50S ribosomal protein L4
cgMLST V2	STMMW_09191	transporter/regulator
cgMLST V2	STMMW_14141 (ssaJ)	EscJ/YscJ/HrcJ family type III secretion inner membrane ring protein
cgMLST V2	STMMW_00461 (ribF)	bifunctional riboflavin kinase/FMN adenylyltransferase
cgMLST V2	STMMW_33921 (yrdA)	"gamma carbonic anhydrase family protein, partial"
cgMLST V2	STMMW_23031 (yfaE)	(2Fe-2S) ferredoxin
cgMLST V2	STMMW_14001 (ssaD)	EscD/YscD/HrpQ family type III secretion system inner membrane ring protein
cgMLST V2	STMMW_09991 (kdsB)	3-deoxy-manno-octulosonate cytidylyltransferase
cgMLST V2	STMMW_42841 (ecnB)	entericidin B
cgMLST V2	STMMW_31161	cytoplasmic protein
cgMLST V2	STMMW_01731 (yacC)	putative chaperone lipoprotein YacC
cgMLST V2	STMMW_25161 (purM)	phosphoribosylaminoimidazole synthetase
cgMLST V2	STMMW_17201 (trpC)	bifunctional indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase
cgMLST V2	STMMW_39341 (yigM)	membrane protein yigM
cgMLST V2	STMMW_30561 (gshB)	glutathione synthetase
cgMLST V2	STMMW_33061 (murA)	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
cgMLST V2	STMMW_37781 (uhpB)	two-component system sensor histidine kinase UhpB
cgMLST V2	STMMW_41711 (yjbE)	Exopolysaccharide production secreted protein
cgMLST V2	STMMW_36921 (pmgI)	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
cgMLST V2	STMMW_33201 (yhbH)	ribosome hibernation promoting factor
cgMLST V2	STMMW_37251	"Transcriptional regulator, LysR family"
cgMLST V2	STMMW_19641 (yodD)	putative cytoplasmic protein
cgMLST V2	STMMW_19311 (yecS)	ABC transporter permease
cgMLST V2	STMMW_18991 (cheY)	two-component system response regulator
cgMLST V2	STMMW_36251 (yhjW)	"putative membrane-associated, metal-dependent hydrolase"
cgMLST V2	STMMW_02411 (yaeR)	lyase
cgMLST V2	STMMW_14791 (pntA)	NAD(P) transhydrogenase subunit alpha
cgMLST V2	STMMW_22241 (yeiB)	Putative inner membrane protein
cgMLST V2	STMMW_36071 (yhjN)	cellulose synthase regulatory subunit
cgMLST V2	STMMW_07281 (gltK)	amino acid ABC transporter permease
cgMLST V2	STMMW_42431 (basR)	DNA-binding transcriptional regulator BasR
cgMLST V2	STMMW_17651 (ychA)	transcriptional regulator
cgMLST V2	STMMW_35781 (pitA)	Low-affinity inorganic phosphate transporter
cgMLST V2	STMMW_15151 (ydeI)	TIGR00156 family protein
cgMLST V2	STMMW_08101 (ybgR)	zinc transporter ZitB
cgMLST V2	STMMW_04481 (yaiY)	Inner membrane protein yaiY
cgMLST V2	STMMW_11641 (yceA)	sulfurtransferase
cgMLST V2	STMMW_18191	putative diguanylate cyclase/phosphodiesterase
cgMLST V2	STMMW_11311 (ycdC)	transcriptional regulator RutR of pyrimidine catabolism
cgMLST V2	STMMW_12661	ABC transport ATP-binding subunit
cgMLST V2	STMMW_35251 (glgC)	glucose-1-phosphate adenylyltransferase
cgMLST V2	STMMW_35521 (livH)	branched-chain amino acid ABC transporter permease LivH
cgMLST V2	STMMW_40881 (argH)	argininosuccinate lyase
cgMLST V2	STMMW_04731 (yajB)	ACP phosphodiesterase
cgMLST V2	STMMW_13211 (celC)	PTS N N'-diacetylchitobiose transporter subunit IIA
cgMLST V2	STMMW_34781 (comE)	DNA transporter HofQ
cgMLST V2	STMMW_29531 (argA)	N-acetylglutamate synthase
cgMLST V2	STMMW_43521 (msrA)	peptide-methionine (S)-S-oxide reductase
cgMLST V2	STMMW_10061 (ycbB)	"L,D-transpeptidase YcbB"
cgMLST V2	STMMW_18731 (znuC)	zinc ABC transporter ATPase
cgMLST V2	STMMW_05281 (cof)	thiamin pyrimidine pyrophosphate hydrolase
cgMLST V2	STMMW_09501 (hcp)	hydroxylamine reductase
cgMLST V2	STMMW_02251 (frr)	ribosome recycling factor
cgMLST V2	STMMW_34121 (rpmJb)	50S ribosomal protein L36
cgMLST V2	STMMW_21721 (fbaB)	fructose-bisphosphate aldolase
cgMLST V2	STMMW_01501 (pilA)	type IV pilin PilA
cgMLST V2	STMMW_26711 (yfiQ)	acyl-CoA synthetase
cgMLST V2	STMMW_30951 (uxuA)	putative mannonate hydrolase
cgMLST V2	STMMW_24971	beta-lactamase
cgMLST V2	STMMW_28621 (invH)	invasion protein H
cgMLST V2	STMMW_14941 (opuBD)	Osmoprotectant ABC transporter ATP-binding subunit YehX
cgMLST V2	STMMW_21091 (hisI)	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase
cgMLST V2	STMMW_41961 (dnaB)	replicative DNA helicase
cgMLST V2	STMMW_26821	gluconolactonase
cgMLST V2	STMMW_04561 (proC)	pyrroline-5-carboxylate reductase
cgMLST V2	STMMW_39571 (hemG)	protoporphyrinogen oxidase
cgMLST V2	STMMW_30041 (xerD)	site-specific tyrosine recombinase XerD
cgMLST V2	STMMW_28721 (mutS)	DNA mismatch repair protein MutS
cgMLST V2	STMMW_38771 (ilvM)	acetolactate synthase isozyme 2 small subunit
cgMLST V2	STMMW_13081 (nudG)	pyrimidine (deoxy)nucleoside triphosphate pyrophosphohydrolase
cgMLST V2	STMMW_25591 (nifU)	iron-sulfur cluster scaffold-like protein
cgMLST V2	STMMW_27441 (iroN)	outer membrane receptor FepA
cgMLST V2	STMMW_13881 (ttrA)	tetrathionate reductase subunit A
cgMLST V2	STMMW_27991 (srlR)	DNA-bindng transcriptional regulator SrlR
cgMLST V2	STMMW_41381 (yjbB)	"inorganic phosphate transporter, sodium-dependent"
cgMLST V2	STMMW_17591 (narL)	two-component system response regulator
cgMLST V2	STMMW_25621 (trmJ)	tRNA (cytosine(32)/uridine(32)-2'-O)-methyltransferase TrmJ
cgMLST V2	STMMW_17411 (oppA)	"ABC superfamily (periplasm), oligopeptide transport protein with chaperone properties"
cgMLST V2	STMMW_12681	ferredoxin
cgMLST V2	STMMW_19101 (yecG)	universal stress protein C
cgMLST V2	STMMW_19451 (yedE)	paral putative membrane component of transport system
cgMLST V2	STMMW_27661 (stpA)	"DNA binding protein, nucleoid-associated, partial"
cgMLST V2	STMMW_41031 (rplA)	50S ribosomal protein L1
cgMLST V2	STMMW_11811 (flgA)	flagella basal body P-ring formation protein FlgA
cgMLST V2	STMMW_18851 (yecD)	putative hydrolase
cgMLST V2	STMMW_22011 (yohC)	transporter
cgMLST V2	STMMW_29091 (cysH)	phosphoadenosine phosphosulfate reductase
cgMLST V2	STMMW_12351 (potA)	putrescine/spermidine ABC transporter ATPase
cgMLST V2	STMMW_32631 (yraL)	16S rRNA (cytidine(1402)-2'-O)-methyltransferase
cgMLST V2	STMMW_39911 (rbn)	ribonuclease BN
cgMLST V2	STMMW_42601	periplasmic or exported protein
cgMLST V2	STMMW_08591 (ybhL)	permease
cgMLST V2	STMMW_33261 (yhbL)	glutamine amidotransferase
cgMLST V2	STMMW_36441 (glyS)	glycine--tRNA ligase subunit beta
cgMLST V2	STMMW_07611 (kdpD)	two-component system sensor histidine kinase KdbD
cgMLST V2	STMMW_24361 (yfeD)	hypothetical protein
cgMLST V2	STMMW_08371 (ybhE)	6-phosphogluconolactonase
cgMLST V2	STMMW_04831 (tsx)	nucleoside channel; receptor of phage T6 and colicin K
cgMLST V2	STMMW_11101 (hpaR)	"homoprotocatechuate degradation operon regulator, HpaR"
cgMLST V2	STMMW_34331 (rpsJ)	30S ribosomal protein S10
cgMLST V2	STMMW_05611 (gsk)	inosine/guanosine kinase
cgMLST V2	STMMW_22901 (ada)	bifunctional transcriptional regulator/O6-methylguanine-DNA methyltransferase
cgMLST V2	STMMW_14161 (ssaK)	secretion system apparatus
cgMLST V2	STMMW_43951 (nrdG)	anaerobic ribonucleoside-triphosphate reductase activating protein
cgMLST V2	STMMW_40971 (birA)	bifunctional biotin--[acetyl-CoA-carboxylase] synthetase/biotin operon repressor
cgMLST V2	STMMW_24501 (ptsH)	PTS sugar transporter
cgMLST V2	STMMW_40601 (priA)	Helicase PriA essential for oriC
cgMLST V2	STMMW_31141	ATP-dependent RNA helicase
cgMLST V2	STMMW_25361 (engA)	ribosome biogenesis GTPase Der
cgMLST V2	STMMW_30231 (rpiA)	ribose-5-phosphate isomerase
cgMLST V2	STMMW_39361 (metE)	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
cgMLST V2	STMMW_30541 (endA)	Endonuclease I precursor
cgMLST V2	STMMW_37011 (rfaC)	ADP-heptose--LPS heptosyl transferase I
cgMLST V2	STMMW_38091 (torT)	TMAO reductase
cgMLST V2	STMMW_41731 (yjbG)	periplasmic protein
cgMLST V2	STMMW_17081 (cysB)	LysR family transcriptional regulator CysB
cgMLST V2	STMMW_39141 (cyaY)	iron donor protein CyaY
cgMLST V2	STMMW_06991 (ybeF)	LysR family transcriptional regulator
cgMLST V2	STMMW_00931 (apaH)	bis(5'-nucleosyl)-tetraphosphatase (symmetrical)
cgMLST V2	STMMW_19661 (gcpA)	diguanylate cyclase
cgMLST V2	STMMW_33041 (ispB)	octaprenyl diphosphate synthase
cgMLST V2	STMMW_27851 (gshA)	glutamate--cysteine ligase
cgMLST V2	STMMW_32791 (mtr)	probable amino acid permease
cgMLST V2	STMMW_17621 (chaB)	Cation transport regulator ChaB
cgMLST V2	STMMW_02471 (cutF)	lipoporotein NlpE
cgMLST V2	STMMW_19591 (fliP)	"flagellar biosynthesis protein FliP, partial"
cgMLST V2	STMMW_37271	Putative inner membrane protein
cgMLST V2	STMMW_33951 (yrdC)	L-threonylcarbamoyladenylate synthase TsaC
cgMLST V2	STMMW_38542 (atpE)	F0F1 ATP synthase subunit C
cgMLST V2	STMMW_38541 (atpF)	ATP synthase subunit B
cgMLST V2	STMMW_22221 (mglB)	Galactose/methyl galactoside ABC transport
cgMLST V2	STMMW_11481 (csgF)	curli assembly protein CsgF
cgMLST V2	STMMW_11161 (hpaI)	"2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase"
cgMLST V2	STMMW_11661 (yceJ)	cytochrome b
cgMLST V2	STMMW_29281 (yqcB)	tRNA pseudouridine(65) synthase TruC
cgMLST V2	STMMW_23171	competence/damage-inducible protein A
cgMLST V2	STMMW_35501 (livG)	leucine/isoleucine/valine transporter ATP-binding subunit
cgMLST V2	STMMW_24771 (eutB)	ethanolamine ammonia lyase large subunit
cgMLST V2	STMMW_42411 (proP)	L-Proline/Glycine betaine transporter ProP
cgMLST V2	STMMW_42141 (yjcB)	membrane protein
cgMLST V2	STMMW_17321 (tonB)	"energy transducer; uptake of iron, cyanocobalimin; sensitivity to phages, colicins"
cgMLST V2	STMMW_31081 (hybB)	hydrogenase 2 b cytochrome subunit
cgMLST V2	STMMW_43541 (ytfN)	translocation and assembly module TamB
cgMLST V2	STMMW_10041 (mukE)	condensin subunit E
cgMLST V2	STMMW_08781 (ybiO)	mechanosensitive channel protein
cgMLST V2	STMMW_18711 (yebA)	peptidase
cgMLST V2	STMMW_05261 (ybaX)	7-cyano-7-deazaguanine synthase QueC
cgMLST V2	STMMW_09561 (cspD)	stationary phase/starvation inducible regulatory protein CspD
cgMLST V2	STMMW_02271 (uppS)	"ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)"
cgMLST V2	STMMW_16911 (sapF)	peptide transport system ATP-binding protein SapF
cgMLST V2	STMMW_34101 (rpsK)	30S ribosomal protein S11
cgMLST V2	STMMW_34601 (pabA)	Para-aminobenzoate synthase- amidotransferase
cgMLST V2	STMMW_25821 (purG)	phosphoribosylformylglycinamidine synthase
cgMLST V2	STMMW_00161	membrane protein
cgMLST V2	STMMW_26731 (yfiM)	protein yfiM
cgMLST V2	STMMW_30681 (yggN)	putative exported protein
cgMLST V2	STMMW_30931	carbon-nitrogen hydrolase
cgMLST V2	STM1940	putative cell wall-associated hydrolase
cgMLST V2	STMMW_24991 (narQ)	nitrate/nitrite two-component system sensor histidine kinase
cgMLST V2	STMMW_06691 (ybdM)	transcriptional regulator
cgMLST V2	STMMW_13531 (ydiE)	hemin uptake protein hemP
cgMLST V2	STMMW_13241 (celG)	chitooligosaccharide deacetylase
cgMLST V2	STMMW_41941 (pspG)	pspG Phage shock protein G (Phageshock_PspG)
cgMLST V2	STMMW_31331 (plsC)	1-acyl-sn-glycerol-3-phosphate acyltransferase
cgMLST V2	STMMW_39551 (yigZ)	YigZ family protein
cgMLST V2	STMMW_26841 (aroF)	phospho-2-dehydro-3-deoxyheptonate aldolase Tyr-sensitive
cgMLST V2	STMMW_30061 (ygfX)	Putative inner membrane protein
cgMLST V2	STMMW_06031 (lpxH)	"UDP-2,3-diacylglucosamine hydrolase"
cgMLST V2	STMMW_29111 (cysJ)	sulfite reductase subunit alpha
cgMLST V2	STMMW_12111 (ycfH)	metal-dependent hydrolase
cgMLST V2	STMMW_26591 (rseA)	"anti sigma E (sigma 24) factor, negative regulator"
cgMLST V2	STMMW_19121 (otsB)	trehalose-6-phosphate phosphatase
cgMLST V2	STMMW_01981 (fhuC)	Ferric hydroxamate ABC transporter FhuC
cgMLST V2	STMMW_27641	transcriptional regulator
cgMLST V2	STMMW_11871 (flgG)	flagellar basal body rod protein FlgG
cgMLST V2	STMMW_22031 (yohF)	"oxidoreductase, short chain dehydrogenase/reductase family"
cgMLST V2	STMMW_41051 (rplL)	50S ribosomal protein L7/L12
cgMLST V2	STMMW_45281 (gpmB)	phosphoglycerate mutase GpmB
cgMLST V2	STMMW_14261 (ssaT)	EscT/YscT/HrcT family type III secretion system export apparatus protein
cgMLST V2	STMMW_32961 (ftsJ)	ribosomal RNA large subunit methyltransferase E
cgMLST V2	STMMW_08571 (moaD)	molybdopterin synthase sulfur carrier subunit
cgMLST V2	STMMW_11291 (wrbA)	NAD(P)H dehydrogenase (quinone)
cgMLST V2	STMMW_12801	"Phage Tail Collar Domain protein, partial"
cgMLST V2	STMMW_23341 (menF)	menaquinone-specific isochorismate synthase
cgMLST V2	STMMW_23342 (elaB)	ElaB protein
cgMLST V2	STMMW_07321 (ybeX)	cobalt transporter
cgMLST V2	STMMW_23611 (yfcC)	putative membrane protein
cgMLST V2	STMMW_16471 (ynaF)	universal stress protein F
cgMLST V2	STMMW_24341 (yfeA)	diguanylate cyclase
cgMLST V2	STMMW_08311 (modE)	molybdenum-dependent transcriptional regulator
cgMLST V2	STMMW_24691 (amiA)	N-acetylmuramoyl-l-alanine amidase I
cgMLST V2	STMMW_11121 (hpaE)	5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase
cgMLST V2	STMMW_34351 (bfr)	bacterioferritin
cgMLST V2	STMMW_14181 (ssaM)	type III secretion system protein SsaM
cgMLST V2	STMMW_22961 (gyrA)	DNA gyrase subunit A
cgMLST V2	STMMW_32211 (ygjO)	ribosomal RNA large subunit methyltransferase G
cgMLST V2	STMMW_43971	hypothetical protein
cgMLST V2	STMMW_28091 (hycG)	formate hydrogenlyase subunit 7
cgMLST V2	STMMW_42881 (frdD)	fumarate reductase subunit D
cgMLST V2	STMMW_09951 (msbA)	lipid A export ATP-binding/permease MsbA
cgMLST V2	STMMW_17981 (nhaB)	Na+/H+ antiporter NhaB
cgMLST V2	STMMW_04671 (phoB)	two-component system response regulator
cgMLST V2	STMMW_04851 (nrdR)	NrdR family transcriptional regulator
cgMLST V2	STMMW_09041 (bssR)	biofilm regulator BssR
cgMLST V2	STMMW_01771 (yadF)	putative carbonic anhydrase
cgMLST V2	STMMW_43281 (sgaB)	ascorbate-specific phosphotransferase enzyme IIB component
cgMLST V2	STMMW_24521 (crr)	glucose-specific phosphotransferase enzyme IIA component
cgMLST V2	STMMW_21111 (udg)	UDP-glucose 6-dehydrogenase
cgMLST V2	STMMW_25121 (yfgD)	arsenate reductase (glutaredoxin)
cgMLST V2	STMMW_43021 (yjeE)	tRNA (N6-adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase TsaE
cgMLST V2	STMMW_30211 (ygfA)	5-formyltetrahydrofolate cyclo-ligase
cgMLST V2	STMMW_10981 (yccA)	"BAX inhibitor protein, partial"
cgMLST V2	STMMW_39301 (rhtC)	threonine efflux system
cgMLST V2	STMMW_40481 (yiiR)	membrane protein
cgMLST V2	STMMW_41281 (purD)	phosphoribosylamine--glycine ligase
cgMLST V2	STMMW_12581 (ibpA)	molecular chaperone
cgMLST V2	STMMW_26691 (trxC)	thiol disulfide reductase thioredoxin
cgMLST V2	STMMW_24831 (eutN)	ethanolamine utilization protein EutN
cgMLST V2	STMMW_13181 (osmE)	transcriptional regulator
cgMLST V2	STMMW_19601 (fliQ)	flagellar biosynthetic protein FliQ
cgMLST V2	STMMW_04391 (prpC)	2-methylcitrate synthase
cgMLST V2	STMMW_13761 (sufB)	cysteine desulfurase activator complex subunit SufB
cgMLST V2	STMMW_33021 (rpmA)	50S ribosomal protein L27
cgMLST V2	STMMW_37071 (rfaI)	lipopolysaccharide 1%2C3-galactosyltransferase (plasmid)
cgMLST V2	STMMW_17601 (ychP)	invasin
cgMLST V2	STMMW_07131 (leuS)	"Aminoacyl-tRNA synthetase, class Ia"
cgMLST V2	STMMW_37291 (gmk)	guanylate kinase
cgMLST V2	STMMW_38211 (recF)	DNA recombination protein RecF
cgMLST V2	STMMW_33791 (yhdT)	membrane protein
cgMLST V2	STMMW_11461 (ycdZ)	putative membrane protein
cgMLST V2	STMMW_18951 (flhE)	flagellar biosynthesis protein FlhE
cgMLST V2	STMMW_00471 (ileS)	isoleucine tRNA synthetase
cgMLST V2	STMMW_03321 (proB)	glutamate 5-kinase
cgMLST V2	STMMW_15111 (ydfG)	3-hydroxy acid dehydrogenase
cgMLST V2	STMMW_39891 (yihW)	DeoR family transcriptional regulator
cgMLST V2	STMMW_11601 (yceK)	"Putative outer membrane lipoprotein, partial"
cgMLST V2	STMMW_22201 (mglC)	galactoside ABC transporter permease MglC
cgMLST V2	STMMW_23401 (nuoM)	NADH-quinone oxidoreductase subunit M
cgMLST V2	STMMW_07861 (abrB)	AbrB family transcriptional regulator
cgMLST V2	STMMW_24751 (eutL)	microcompartment protein EutL
cgMLST V2	STMMW_00951 (ksgA)	ribosomal RNA small subunit methyltransferase A
cgMLST V2	STMMW_42161 (soxS)	transcriptional regulator
cgMLST V2	STMMW_20981 (sbcB)	exodeoxyribonuclease I
cgMLST V2	STMMW_14642 (blr)	beta-lactam resistance membrane protein
cgMLST V2	STMMW_14641 (ydgT)	nucleoid-associated protein
cgMLST V2	STMMW_09231 (grxA)	"glutaredoxin, GrxA family"
cgMLST V2	STMMW_05241 (comE1)	competence protein ComEA
cgMLST V2	STMMW_09541 (macA)	efflux transporter periplasmic adaptor subunit
cgMLST V2	STMMW_02211 (map)	type I methionyl aminopeptidase
cgMLST V2	STMMW_34161 (rpsE)	30S ribosomal protein S5
cgMLST V2	STMMW_00141	bacteriophage protein
cgMLST V2	STMMW_38851 (ppiC)	peptidyl-prolyl cis-trans isomerase
cgMLST V2	STMMW_21851 (mrp)	Fe-S-binding ATPase
cgMLST V2	STMMW_25801 (yfhG)	putative transcriptional regulator of two-component regulator protein (EBP familiiy)
cgMLST V2	STMMW_16881 (sapB)	peptide ABC transporter permease
cgMLST V2	STMMW_17461 (hns)	transcriptional regulator
cgMLST V2	STMMW_39531 (fadB)	multifunctional fatty acid oxidation complex subunit alpha
cgMLST V2	STMMW_30001 (lysS)	lysine--tRNA ligase
cgMLST V2	STMMW_01231 (ilvH)	acetolactate synthase isozyme III small subunit
cgMLST V2	STMMW_01541	alpha-N-arabinofuranosidase 2
cgMLST V2	STMMW_06011 (purK)	phosphoribosylaminoimidazole carboxylase ATPase subunit
cgMLST V2	STMMW_25661 (asrB)	anaerobic sulfite reductase subunit B
cgMLST V2	STMMW_10001	aminoglycoside phosphotransferase
